Tatum,Jayson:2021-22
7	2	4
8	2	0
12	4	3
14	6	7
9	1	4
10	0	7
8	1	3
4	1	5
3	2	2
12	6	2
8	3	3
10	5	2
8	1	4
7	2	7
12	5	5
13	4	7
11	6	5
10	1	9
4	1	6
9	2	4
2	1	3
9	3	5
12	2	11
9	4	9
13	5	3
9	2	9
10	1	3
16	7	3
9	3	6
9	3	4
5	0	7
6	2	4
7	4	7
6	1	6
12	6	6
6	3	4
7	0	10
11	4	7
7	2	4
8	1	6
9	0	9
5	0	2
8	0	11
18	9	6
14	7	1
5	2	8
17	4	0
7	3	3
6	1	6
9	4	2
6	2	1
7	2	3
8	1	7
13	4	8
9	4	6
7	2	6
10	4	6
8	4	6
7	2	8
12	3	6
14	2	7
16	8	14
16	6	6
13	2	3
7	3	4
6	3	11
12	7	1
11	6	2
11	5	9
9	5	3
12	5	5
9	0	5
10	3	8
9	1	3
5	1	5
11	6	3
