Antetokounmpo,Giannis:2021-22
12 	1 	7
4	1	6
7	1	6
10	0	10
15	3	7
11	0	6
10	3	2
9	3	7
7	2	9
12	0	5
12	0	7
5	2	3
9	1	7
18	3	8
6	0	9
8	1	15
4	0	4
12	1	8
10	1	3
10	0	6
15	1	9
9	3	6
4	0	7
15	1	10
7	0	6
7	0	6
13	0	10
10	1	7
13	1	6
12	2	9
11	0	9
11	2	7
11	3	18
10	1	5
11	0	8
6	1	17
8	1	10
12	2	7
11	0	8
7	1	11
12	2	12
9	1	10
14	0	5
7	4	11
8	2	10
17	2	8
5	0	8
17	2	14
13	2	4
8	1	12
6	0	14
9	1	9
12	0	10
8	0	3
13	4	9
15	1	12
9	1	12
12	0	6
12	0	12
9	1	6
11	0	8
16	1	7
14	1	15
12	0	4
7	1	3
11	0	7
9	1	11
